sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale
4.608,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.608,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.864,1,en_route_pickup,-4.426,2.973,-6.000,3.500,joint_grid_transaction,2,2,2,9,1,0.000,1.00
4.864,2,en_route_pickup,-4.005,-2.997,-1.000,1.500,joint_grid_transaction,2,2,2,9,2,0.000,1.00
4.864,3,en_route_pickup,3.854,3.000,-3.000,1.500,joint_grid_transaction,2,2,2,9,3,0.000,1.00
4.864,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.864,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.864,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.864,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
4.864,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.120,1,en_route_pickup,-4.462,2.971,-6.000,3.500,joint_grid_transaction,3,2,2,9,1,0.000,1.00
5.120,2,en_route_pickup,-4.002,-2.995,-1.000,1.500,joint_grid_transaction,3,2,2,9,2,0.000,1.00
5.120,3,en_route_pickup,3.807,3.000,-3.000,1.500,joint_grid_transaction,3,2,2,8,3,0.000,1.00
5.120,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.120,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.120,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.120,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.120,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.376,1,en_route_pickup,-4.497,2.969,-6.000,3.500,joint_grid_transaction,3,3,1,9,1,0.000,1.00
5.376,2,en_route_pickup,-4.022,-2.988,-1.000,1.500,joint_grid_transaction,3,3,1,9,2,0.000,1.00
5.376,3,en_route_pickup,3.759,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00
5.376,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.376,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.376,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.376,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.376,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.632,1,en_route_pickup,-4.531,2.967,-6.000,3.500,joint_grid_transaction,3,3,1,9,1,0.000,1.00
5.632,2,en_route_pickup,-4.049,-2.967,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00
5.632,3,en_route_pickup,3.719,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00
5.632,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.632,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.632,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.632,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.632,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.888,1,en_route_pickup,-4.567,2.964,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
5.888,2,en_route_pickup,-4.074,-2.940,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00
5.888,3,en_route_pickup,3.719,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00
5.888,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.888,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.888,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.888,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
5.888,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.144,1,en_route_pickup,-4.603,2.962,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
6.144,2,en_route_pickup,-4.086,-2.918,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00
6.144,3,en_route_pickup,3.719,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00
6.144,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.144,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.144,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.144,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.144,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.400,1,en_route_pickup,-4.638,2.960,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
6.400,2,en_route_pickup,-4.087,-2.915,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00
6.400,3,en_route_pickup,3.705,3.000,-3.000,1.500,joint_grid_transaction,3,3,1,8,3,0.000,1.00
6.400,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.400,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.400,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.400,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.400,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.656,1,en_route_pickup,-4.672,2.957,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
6.656,2,en_route_pickup,-4.090,-2.925,-1.000,1.500,joint_grid_transaction,3,3,2,9,2,0.000,1.00
6.656,3,en_route_pickup,3.658,3.000,-3.000,1.500,joint_grid_transaction,3,3,2,8,3,0.000,1.00
6.656,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.656,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.656,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.656,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.656,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.912,1,en_route_pickup,-4.705,2.955,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
6.912,2,en_route_pickup,-4.106,-2.905,-1.000,1.500,joint_grid_transaction,3,3,3,9,2,0.000,1.00
6.912,3,en_route_pickup,3.610,3.000,-3.000,1.500,joint_grid_transaction,3,3,2,8,3,0.000,1.00
6.912,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.912,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.912,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.912,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
6.912,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.168,1,en_route_pickup,-4.736,2.953,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
7.168,2,en_route_pickup,-4.126,-2.862,-1.000,1.500,joint_grid_transaction,3,3,3,9,2,0.000,1.00
7.168,3,en_route_pickup,3.562,3.000,-3.000,1.500,joint_grid_transaction,3,3,2,8,3,0.000,1.00
7.168,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.168,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.168,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.168,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.168,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.424,1,en_route_pickup,-4.764,2.951,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
7.424,2,en_route_pickup,-4.145,-2.818,-1.000,1.500,joint_grid_transaction,3,3,3,9,2,0.000,1.00
7.424,3,en_route_pickup,3.514,3.000,-3.000,1.500,joint_grid_transaction,3,3,2,8,3,0.000,1.00
7.424,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.424,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.424,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.424,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.424,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.680,1,en_route_pickup,-4.791,2.949,-6.000,3.500,joint_grid_transaction,3,3,2,9,1,0.000,1.00
7.680,2,en_route_pickup,-4.162,-2.774,-1.000,1.500,joint_grid_transaction,3,3,3,9,2,0.000,1.00
7.680,3,en_route_pickup,3.466,3.000,-3.000,1.500,joint_grid_transaction,3,3,2,8,3,0.000,1.00
7.680,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.680,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.680,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.680,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.680,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.936,1,en_route_pickup,-4.825,2.947,-6.000,3.500,joint_grid_transaction,3,3,3,9,1,0.000,1.00
